x,y
0.000000,0.000000
0.010000,0.014969
0.020000,0.029937
0.030000,0.044904
0.040000,0.059870
0.050000,0.074834
0.060000,0.089796
0.070000,0.104755
0.080000,0.119711
0.090000,0.134663
0.100000,0.149611
0.110000,0.164555
0.120000,0.179493
0.130000,0.194426
0.140000,0.209353
0.150000,0.224274
0.160000,0.239188
0.170000,0.254094
0.180000,0.268993
0.190000,0.283883
0.200000,0.298765
0.210000,0.313638
0.220000,0.328501
0.230000,0.343354
0.240000,0.358197
0.250000,0.373028
0.260000,0.387848
0.270000,0.402657
0.280000,0.417453
0.290000,0.432236
0.300000,0.447006
0.310000,0.461762
0.320000,0.476504
0.330000,0.491232
0.340000,0.505944
0.350000,0.520641
0.360000,0.535322
0.370000,0.549986
0.380000,0.564633
0.390000,0.579264
0.400000,0.593876
0.410000,0.608470
0.420000,0.623045
0.430000,0.637601
0.440000,0.652138
0.450000,0.666654
0.460000,0.681150
0.470000,0.695625
0.480000,0.710078
0.490000,0.724510
0.500000,0.738919
0.510000,0.753305
0.520000,0.767668
0.530000,0.782007
0.540000,0.796322
0.550000,0.810612
0.560000,0.824877
0.570000,0.839117
0.580000,0.853330
0.590000,0.867517
0.600000,0.881677
0.610000,0.895810
0.620000,0.909915
0.630000,0.923991
0.640000,0.938039
0.650000,0.952058
0.660000,0.966046
0.670000,0.980005
0.680000,0.993933
0.690000,1.007830
0.700000,1.021695
0.710000,1.035529
0.720000,1.049330
0.730000,1.063098
0.740000,1.076833
0.750000,1.090534
0.760000,1.104200
0.770000,1.117832
0.780000,1.131429
0.790000,1.144990
0.800000,1.158515
0.810000,1.172004
0.820000,1.185455
0.830000,1.198870
0.840000,1.212246
0.850000,1.225583
0.860000,1.238882
0.870000,1.252142
0.880000,1.265362
0.890000,1.278542
0.900000,1.291681
0.910000,1.304779
0.920000,1.317835
0.930000,1.330850
0.940000,1.343821
0.950000,1.356750
0.960000,1.369636
0.970000,1.382478
0.980000,1.395275
0.990000,1.408028
1.000000,1.420735
1.010000,1.433397
1.020000,1.446013
1.030000,1.458583
1.040000,1.471108
1.050000,1.483586
1.060000,1.496019
1.070000,1.508406
1.080000,1.520747
1.090000,1.533042
1.100000,1.545291
1.110000,1.557494
1.120000,1.569651
1.130000,1.581761
1.140000,1.593826
1.150000,1.605844
1.160000,1.617816
1.170000,1.629742
1.180000,1.641622
1.190000,1.653455
1.200000,1.665242
1.210000,1.676982
1.220000,1.688676
1.230000,1.700324
1.240000,1.711925
1.250000,1.723479
1.260000,1.734987
1.270000,1.746448
1.280000,1.757862
1.290000,1.769230
1.300000,1.780551
1.310000,1.791825
1.320000,1.803052
1.330000,1.814233
1.340000,1.825367
1.350000,1.836453
1.360000,1.847493
1.370000,1.858486
1.380000,1.869431
1.390000,1.880330
1.400000,1.891181
1.410000,1.901986
1.420000,1.912743
1.430000,1.923453
1.440000,1.934115
1.450000,1.944730
1.460000,1.955298
1.470000,1.965819
1.480000,1.976292
1.490000,1.986718
1.500000,1.997096
1.510000,2.007427
1.520000,2.017710
1.530000,2.027946
1.540000,2.038134
1.550000,2.048274
1.560000,2.058366
1.570000,2.068411
1.580000,2.078408
1.590000,2.088357
